# Constraining the Milky Way Mass Profile with Phase-Space Distribution of Satellite Galaxies
# Zhao-Zhou Li (lizz.astro@gmail.com), Yong-Zhong Qian, Jiaxin Han, Ting. S. Li, Wenting Wang, Y. P. Jing
# arXiv:1912.02086

# MW satellite kinematic data (see Appendix A)
#
# Two datasets are presented in this file
#   1. original observed kinematics
#   2. posterior kinematics inferred from the DF model and best-fit MW potential
#
# Columns
# -------
#   name             : name of satellite galaxy
#   num              : label of satellite, a number between 1 and 28
#   VMag             : V band absolute magnitude [mag]
#   ra, dec          : Heliocentric sky coordinates [deg]
#   rsun             : Heliocentric distance [kpc]
#   vsun             : line-of-sight velocity in HSR [km/s]
#   pmra, pmdec      : proper motions in HSR (cos(dec) is included in pmra) [mas/yr]
#   r, theta, phi    : Galactocentric coordinates [kpc, deg, deg]
#   vr, vtheta, vphi : velocities in GSR [km/s]
#   x, y, z          : Galactocentric coordinates (Cartesian) [kpc]
#   vx, vy, vz       : velocities in GSR (Cartesian) [km/s]
#
# The median value (X) and lower/upper 1 sigma errors (X_neg/X_pos) are presented for
# each quantity X when possible. These values for the derived quantities are estimated
# from the Monte Carlo samples presented in mw_satellite_kinematics_weighted_sample.txt
#
# HSR: Heliocentric Standard of Rest frame
# GSR: Galactocentric Standard of Rest frame
#
# References for original observations/measurements are given in Li et al. 2019, Table 2.
#

# 1. original observed kinematics

               name  num     VMag       ra      dec     rsun  rsun_neg  rsun_pos      vsun  vsun_neg  vsun_pos    pmra  pmra_neg  pmra_pos   pmdec  pmde_neg  pmde_pos        r    r_neg   r_pos    theta  theta_neg  theta_pos      phi  phi_neg  phi_pos        vr   vr_neg  vr_pos    vtheta  vtheta_neg  vtheta_pos      vphi  vphi_neg  vphi_pos         x   x_neg  x_pos         y    y_neg   y_pos         z    z_neg   z_pos        vx    vx_neg   vx_pos        vy    vy_neg   vy_pos        vz    vz_neg   vz_pos
-------------------  ---  -------  -------  -------  -------  --------  --------  --------  --------  --------  ------  --------  --------  ------  --------  --------  -------  -------  ------  -------  ---------  ---------  -------  -------  -------  --------  -------  ------  --------  ----------  ----------  --------  --------  --------  --------  ------  -----  --------  -------  ------  --------  -------  ------  --------  --------  -------  --------  --------  -------  --------  --------  -------
      "Aquarius II"    1   -4.360  338.481   -9.327  107.900    -3.300     3.300   -71.100    -2.500     2.500  -0.491    -0.306     0.306  -0.049    -0.266     0.266  105.348   -3.476   3.229  144.966     -0.050      0.057   61.699   -0.199    0.229    34.249  -11.390  11.691  -372.091    -145.392     152.825   -62.546  -138.779   146.789    28.671  -1.191  1.106    53.248   -1.720   1.598   -86.261   -2.589   2.788   203.739  -140.359  142.455   258.295  -114.793  115.112   183.116   -89.023   92.117
         "Bootes I"    2   -6.300  210.015   14.512   66.000    -3.000     3.000   102.200    -0.800     0.800  -0.459    -0.041     0.041  -1.064    -0.029     0.029   63.711   -2.944   2.868   13.611     -0.337      0.299  357.068   -0.077    0.066    95.780   -1.566   1.664   123.068     -12.196      11.949   -94.840   -19.681    19.705    14.973  -1.040  1.012    -0.767   -0.033   0.034    61.922   -2.778   2.704   136.981   -11.333   11.613  -101.823   -19.716   19.242    64.081    -4.126    4.547
 "Canes Venatici I"    3   -8.600  202.016   33.559  210.000    -6.000     6.000    30.900    -0.600     0.600  -0.159    -0.100     0.100  -0.067    -0.064     0.064  209.991   -6.073   5.868    9.832     -0.004      0.004   86.043   -0.355    0.389    83.293   -3.426   3.563    89.178     -81.250      82.688    76.202   -83.188    88.899     2.475  -0.309  0.298    35.771   -1.034   0.999   206.907   -5.981   5.779   -68.803   -89.630   85.030   107.308   -79.768   80.068    67.186   -16.436   15.464
"Canes Venatici II"    4   -4.600  194.292   34.321  160.000    -7.000     7.000  -128.900    -1.200     1.200  -0.342    -0.238     0.238  -0.473    -0.178     0.178  160.590   -6.805   6.955    8.757     -0.078      0.084  130.391   -0.616    0.645   -93.319   -8.855   9.195  -143.965    -142.792     136.809   134.313  -182.288   186.997   -15.843  -0.333  0.326    18.622   -0.793   0.811   158.718   -6.760   6.908     2.281  -177.565  169.792  -204.557  -157.593  141.868   -70.060   -17.367   17.695
         "Carina I"    5   -8.600  100.407  -50.966  105.600    -5.400     5.400   222.900    -0.100     0.100   0.495    -0.015     0.015   0.143    -0.014     0.014  107.472   -5.260   5.092  111.827     -0.022      0.019  255.399   -0.239    0.210    -4.164   -0.551   0.537  -172.967     -14.083      14.830   -27.423    -6.991     6.756   -25.149  -0.818  0.845   -96.545   -4.657   4.812   -39.959   -1.929   1.993   -41.778    -6.784    6.764   -51.573    -5.420    5.502   162.111   -13.786   13.050
 "Coma Berenices I"    6   -3.800  186.746   23.908   42.000    -1.500     1.500    98.100    -0.900     0.900   0.546    -0.092     0.092  -1.726    -0.086     0.086   43.194   -1.452   1.485   14.849     -0.339      0.356  201.838   -0.563    0.562    26.510   -3.562   3.548  -265.915     -19.592      18.254   103.326   -21.320    22.452   -10.275  -0.075  0.073    -4.118   -0.148   0.145    41.751   -1.471   1.502   270.929   -20.813   21.499    -2.475   -20.053   18.650    93.931    -2.193    2.135
        "Crater II"    7   -8.200  177.310  -18.413  117.500    -1.100     1.100    87.500    -0.400     0.400  -0.246    -0.052     0.052  -0.227    -0.026     0.026  116.397   -1.140   1.092   47.515     -0.004      0.003  277.722   -0.053    0.050   -83.733   -1.897   1.873    -1.706     -16.261      17.789   -30.598   -27.041    26.481    11.534  -0.192  0.184   -85.059   -0.793   0.828    78.615   -0.765   0.733   -38.852   -25.868   25.786    57.907   -14.485   14.164   -55.283   -12.790   11.845
          "Draco I"    8   -8.750  260.060   57.965   76.000    -6.000     6.000  -291.000    -0.100     0.100  -0.019    -0.009     0.009  -0.145    -0.010     0.010   76.188   -6.060   6.026   55.285     -0.015      0.021   93.815   -0.552    0.651   -88.008   -0.398   0.413   122.371      -3.412       3.171   -45.699    -6.138     5.186    -4.167  -0.323  0.321    62.487   -5.003   4.970    43.389   -3.472   3.449    45.754    -5.231    6.089     0.418    -2.097    1.888  -150.721    -2.613    2.823
           "Fornax"    9  -13.400   39.962  -34.511  147.000    -9.000     9.000    55.300    -0.100     0.100   0.376    -0.003     0.003  -0.413    -0.003     0.003  149.021   -9.056   8.931  153.878     -0.118      0.102  230.928   -0.364    0.320   -41.193   -0.150   0.162  -106.298     -18.041      18.074   120.331   -15.910    15.872   -41.355  -2.017  2.046   -50.938   -3.099   3.143  -133.799   -8.142   8.258    44.653    -3.405    3.568  -135.801   -22.595   22.351    83.813    -7.870    7.821
